ID,Name,"Education Level"
3993,"Jessica Odonnell","Master's Degree"
1006,"Christian Maddox","Master's Degree"
3981,"Misty Nguyen","Master's Degree"
1013,"James Bailey","Master's Degree"
1017,"Anita Jenkins","Master's Degree"
3974,"Eduardo Dorsey","Master's Degree"
1021,"Rebecca Jensen","Master's Degree"
1022,"Gabriel Norris","Master's Degree"
3972,"Brian White","Master's Degree"
3965,"Charles Russo","Master's Degree"
1025,"Nicholas Conley","Master's Degree"
3946,"Brooke Little","Master's Degree"
3941,"Teresa Adams","Master's Degree"
1032,"Hannah Moore","Master's Degree"
3938,"Kevin Sanchez","Master's Degree"
3935,"Donald Grimes","Master's Degree"
3922,"Leah Gonzales","Master's Degree"
3920,"Rodney Guzman","Master's Degree"
1057,"Kimberly Ellis","Master's Degree"
1060,"Susan Mayer","Master's Degree"
1062,"Brian Jenkins","Master's Degree"
3916,"Theodore Martinez","Master's Degree"
1066,"Phillip Weber","Master's Degree"
1069,"Joshua Baxter","Master's Degree"
1071,"Christopher Davis","Master's Degree"
1073,"Michael Hunter","Master's Degree"
3912,"Erica Wolfe","Master's Degree"
3907,"Brian Moody","Master's Degree"
3906,"Hannah Lee","Master's Degree"
3896,"Richard Moore","Master's Degree"
3887,"Susan White","Master's Degree"
3865,"Anthony Hansen","Master's Degree"
1106,"Earl Houston","Master's Degree"
3864,"Kirk Zimmerman","Master's Degree"
1108,"Amanda Monroe","Master's Degree"
1114,"Evan Benitez","Master's Degree"
3863,"Jennifer Reid","Master's Degree"
1127,"Amy Reyes","Master's Degree"
3858,"Erica Cole","Master's Degree"
1135,"Grant Thompson","Master's Degree"
3856,"Roberto Allen","Master's Degree"
1142,"Christina Richards","Master's Degree"
1150,"Anthony Armstrong","Master's Degree"
3848,"Jeffrey Fowler","Master's Degree"
1162,"Samuel Strong","Master's Degree"
1164,"Matthew Wyatt","Master's Degree"
1165,"Shannon Knight","Master's Degree"
1184,"Nancy Huber","Master's Degree"
3846,"Beth Nixon","Master's Degree"
3843,"Samuel Lucas","Master's Degree"
3842,"Scott Downs","Master's Degree"
1204,"Javier Morgan","Master's Degree"
3839,"Timothy Johnson","Master's Degree"
3833,"Kathy Dillon","Master's Degree"
3820,"Richard Hogan","Master's Degree"
1219,"John Rocha","Master's Degree"
3811,"Savannah Brown","Master's Degree"
3802,"Stephanie Chambers","Master's Degree"
3795,"Joseph Lynch","Master's Degree"
1248,"Hannah Wilson","Master's Degree"
3793,"Michael Brown","Master's Degree"
3792,"Kim Summers","Master's Degree"
3788,"Melissa Leon","Master's Degree"
3784,"Rebecca West","Master's Degree"
3765,"Eric Rodriguez","Master's Degree"
1279,"Emily Bailey","Master's Degree"
1280,"Robert Carter","Master's Degree"
1281,"Oscar Howard","Master's Degree"
1282,"Deanna Robertson","Master's Degree"
1283,"Caitlyn Gray","Master's Degree"
1284,"David Oconnor","Master's Degree"
3756,"Scott Larson","Master's Degree"
3742,"Jose Cabrera","Master's Degree"
3734,"Randy Donaldson","Master's Degree"
3717,"Haley Nolan","Master's Degree"
3714,"Rachel Park","Master's Degree"
3691,"Kevin Cox","Master's Degree"
1324,"Erin Gonzalez","Master's Degree"
3680,"Walter Morales","Master's Degree"
3669,"John Patrick","Master's Degree"
1328,"Katherine Heath","Master's Degree"
1330,"Kelly Curtis","Master's Degree"
3667,"Ryan Mcclure","Master's Degree"
3658,"Christopher Graham","Master's Degree"
3657,"James Hansen","Master's Degree"
3639,"Abigail King","Master's Degree"
3618,"Heather Rivera","Master's Degree"
1350,"Cory Nguyen","Master's Degree"
1355,"Randy Allen","Master's Degree"
3617,"Lisa Kelly","Master's Degree"
3614,"Angela Andersen","Master's Degree"
1369,"David May","Master's Degree"
3608,"Shannon Murphy","Master's Degree"
1376,"Eddie Morris","Master's Degree"
1379,"Roberta Horne","Master's Degree"
1380,"Lance Flores","Master's Degree"
3607,"Danielle Morris","Master's Degree"
1394,"Joshua Harris","Master's Degree"
1398,"Danielle Woods","Master's Degree"
3598,"Laura Newton","Master's Degree"
1408,"Laura Martinez","Master's Degree"
3575,"Nicholas Morton","Master's Degree"
1416,"James Castillo","Master's Degree"
1419,"April Payne","Master's Degree"
3564,"Virginia Brown","Master's Degree"
1431,"Rickey Lawson","Master's Degree"
1432,"Patrick Whitaker","Master's Degree"
1435,"Christina Porter","Master's Degree"
3538,"Stephanie Wright","Master's Degree"
1455,"Becky Le","Master's Degree"
1464,"Sarah Romero","Master's Degree"
1474,"Patricia George","Master's Degree"
3536,"Kevin Hall","Master's Degree"
3512,"Susan Stewart","Master's Degree"
1511,"Valerie Alvarez","Master's Degree"
1515,"Frank Lopez","Master's Degree"
3504,"Sara Moon","Master's Degree"
3498,"Brian Combs","Master's Degree"
3497,"Bridget Vang","Master's Degree"
3494,"Cindy Holland","Master's Degree"
1527,"Ashley Martinez","Master's Degree"
3484,"Katelyn Murphy","Master's Degree"
3483,"Jennifer Jones","Master's Degree"
1533,"Joshua Boyer","Master's Degree"
3482,"John Porter","Master's Degree"
3468,"Tammy Hutchinson","Master's Degree"
1547,"Alexandra Silva","Master's Degree"
1549,"Lisa Torres","Master's Degree"
3465,"Jennifer Berg","Master's Degree"
3464,"Alexandra Smith","Master's Degree"
3458,"Corey Ward","Master's Degree"
3451,"Lori Yoder","Master's Degree"
3447,"Wesley Johnson","Master's Degree"
1568,"Richard Greer","Master's Degree"
3444,"Victoria Mora","Master's Degree"
1576,"Andrew Jones","Master's Degree"
3443,"Anne Ingram","Master's Degree"
3426,"Michael Brown","Master's Degree"
3423,"Debbie Moore","Master's Degree"
3422,"Natalie Reed","Master's Degree"
3414,"Adam Riley","Master's Degree"
3413,"Lindsey Simpson","Master's Degree"
3397,"Gabriel Stout","Master's Degree"
1596,"Kimberly Pugh","Master's Degree"
1598,"Alexander Thomas","Master's Degree"
1602,"Heather Thompson","Master's Degree"
3394,"Tyrone Gordon","Master's Degree"
3392,"Karen Glass","Master's Degree"
3385,"Charles Rivera","Master's Degree"
3370,"Sarah Trevino","Master's Degree"
1645,"William Williams","Master's Degree"
3351,"Melissa Morgan","Master's Degree"
1648,"Kathy Cook","Master's Degree"
1650,"Kathleen Roberts","Master's Degree"
1653,"Joshua Gray","Master's Degree"
3344,"Diana Taylor","Master's Degree"
1664,"Sandra Church","Master's Degree"
1666,"Meredith Rojas","Master's Degree"
3342,"Jessica Murphy","Master's Degree"
3339,"Travis Espinoza","Master's Degree"
1678,"Kelly Williams","Master's Degree"
1684,"Sarah Peck","Master's Degree"
3332,"Elizabeth Hale","Master's Degree"
3328,"Anita Lawson","Master's Degree"
3325,"Amanda Molina","Master's Degree"
1694,"Ruben Waters","Master's Degree"
3322,"Roberto Campbell","Master's Degree"
3317,"Amanda Wallace","Master's Degree"
1713,"Susan Wagner","Master's Degree"
1715,"Kristin Allen","Master's Degree"
3301,"Katie Osborn","Master's Degree"
1725,"Kimberly Carter","Master's Degree"
3285,"Carly Kennedy","Master's Degree"
3274,"Jon Brooks","Master's Degree"
3268,"Kyle Fleming","Master's Degree"
3267,"Amanda Summers","Master's Degree"
3256,"Blake Dominguez","Master's Degree"
1749,"Charles Marsh","Master's Degree"
1750,"Rachel Salazar","Master's Degree"
3255,"Beth Johnson","Master's Degree"
1760,"Melissa Cross","Master's Degree"
1761,"Sara Mccarthy","Master's Degree"
3253,"Lisa Wood","Master's Degree"
1773,"Jessica Rivera","Master's Degree"
3244,"Judith Keller","Master's Degree"
1777,"Cindy Collins","Master's Degree"
3235,"Jacob Stevens","Master's Degree"
3234,"Brittney Harmon","Master's Degree"
3230,"Paul Espinoza","Master's Degree"
1792,"Caitlin Garcia","Master's Degree"
3229,"Jasmine Brooks","Master's Degree"
3221,"Dalton Fisher","Master's Degree"
3202,"Courtney Rodriguez","Master's Degree"
3198,"Adam Werner","Master's Degree"
